Institucion,Organismo responsable,Expediente,Fecha,Tipo,Objeto,Procedimiento,Ambito_geografico,Materias_CPV,Codigos_CPV,Observaciones,Enlace HTML
CORTES GENERALES,Mesa del Senado,35/2024.,02/12/2024,Licitación,Suministro de ordenadores de sobremesa y servicios conexos para el Senado.,Abierto,Comunidad de Madrid,"30000000 Máquinas, equipo y artículos de oficina y de informática, excepto mobiliario y paquetes de software 51000000 Servicios de instalación (excepto software)",30213000 (Ordenadores personales) y 51610000 (Servicios de instalación de ordenadores y de equipo para procesamiento de la información).,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44186
MINISTERIO DE DEFENSA,Jefatura de la Sección Económico Administrativa 12 - Agrupación del Acuartelamiento Aéreo Tablada,2024/EA12/00001296E.,02/12/2024,Contratación,Sustitución de celda de entrada y celda de protección general del centro de distribución de energía de MAESE- ZM SAN PABLO.,Abierto,Andalucía,"31000000 Máquinas, aparatos, equipo y productos consumibles eléctricos; iluminación",31214520 (Celdas de media tensión).,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44187
MINISTERIO DE DEFENSA,Jefatura de la Sección de Asuntos Económicos de la Unidad Militar de Emergencias,2024/SP03038000/00001195E.,02/12/2024,Contratación,Servicio de mantenimiento de vehículos Volkswagen Amarok de la UME.,Abierto,Comunidad de Madrid,50100000 Servicios de reparación y mantenimiento,"50000000 (Servicios de reparación y mantenimiento) y 50100000 (Servicios de reparación, mantenimiento y servicios asociados de vehículos y equipo conexo).",No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44188
MINISTERIO DE DEFENSA,Jefatura de Asuntos Económicos del Mando de Apoyo Logístico,2024/ETSAE0906/00003833E.,02/12/2024,Contratación,aceites y grasas lote1.,Abierto,Comunidad de Madrid,"09000000 Derivados del petróleo, combustibles, electricidad y otras fuentes de energía",09210000 (Preparados lubricantes).,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44189
MINISTERIO DE DEFENSA,Dirección de Gestión Económica de la Jefatura de Apoyo Logístico de la Armada,2024/AR40U/00002465E.,02/12/2024,Contratación,Estudio técnico para el desarrollo de la fase de preparación para la integración de la versión lanzable desde submarino del misil NSM en el submarino S-80. Fase I.,Negociado sin publicidad,Comunidad de Madrid,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",71311000 (Servicios de consultoría en ingeniería civil).,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44190
MINISTERIO DE DEFENSA,Jefatura de la Sección Económico-Administrativa 41 - Base Aérea de San Javier,2024/EA41/00001939E.,02/12/2024,Contratación,Obra en Murcia / Alcantarilla / Base Aérea Alcantarilla / Adecuación nave de cargas de la B.A. Alcantarilla.,Abierto,Región de Murcia,45000000 Trabajos de construcción,45220000 (Obras de ingeniería y trabajos de construcción).,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44191
MINISTERIO DE DEFENSA,Jefatura de la Sección Económico-Administrativa 41 - Base Aérea de San Javier,2024/EA41/00001198E.,02/12/2024,Contratación,Obra en Murcia / Alcantarilla / Base Aérea Alcantarilla / Subsanación no conformidades en Centros de Transformación.,Abierto,Región de Murcia,45000000 Trabajos de construcción,45317200 (Trabajos de instalación eléctrica de transformadores).,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44192
MINISTERIO DE DEFENSA,Jefatura de Asuntos Económicos del Mando de Apoyo Logístico,2024/ETSAE0906/00004073E.,02/12/2024,Contratación,manto vías comunicación lote 3 rodillos.,No disponible,Comunidad de Madrid,50500000 Servicios de reparación y mantenimiento,50530000 (Servicios de reparación y mantenimiento de maquinaria).,Acuerdo Marco.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44193
MINISTERIO DE DEFENSA,Jefatura de Intendencia de Asuntos Económicos Este,2024/ETSAE0327/00005858E.,02/12/2024,Licitación,"Concesión de Servicios Cantina del Acuartelamiento General Álvarez de Castro, Sant Climent Sescebes (Girona).",Restringido,Cataluña,55000000 Servicios comerciales al por menor de hostelería y restauración,No disponible,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44194
MINISTERIO DE DEFENSA,Jefatura de la Sección Económico Administrativa 15 Agrupación del Cuartel General del Ejército del Aire,2024/EA15/00001965.,02/12/2024,Contratación,Adquisición de Equipamiento Criptológico .,Negociado sin publicidad,Comunidad de Madrid,"32000000 Equipos de radio, televisión, comunicaciones y telecomunicaciones y equipos conexos",32500000 (Equipo y material para telecomunicaciones).,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44195
MINISTERIO DE DEFENSA,Junta de Contratación del Ejército del Aire,2024/EAJC/00000240.,02/12/2024,Contratación,"Acuerdo Marco (AM) para el suministro de oxígeno de vuelo, gases medicinales, otros gases y mezclas, patrones, mantenimiento de envases, instalaciones y elementos asociados a diversas unidades del Ejército del Aire y del Espacio (EA) en territorio nacional.",Abierto,Comunidad de Madrid,24000000 Productos químicos,4.1) CPV principal: 24110000 (Gases industriales). 4.2) CPV Lote 1: 24110000 (Gases industriales). 4.3) CPV Lote 2: 24110000 (Gases industriales). 4.4) CPV Lote 3: 24110000 (Gases industriales). 4.5) CPV Lote 4: 24110000 (Gases industriales). 4.6) CPV Lote 5: 24110000 (Gases industriales).,"Lotes 1, 2, 4 y 5. Acuerdo marco.",https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44196
